Threads,Connections,Duration,Page,Total Requests,Total Time,Data Read,Requests/Sec,Transfer/Sec,Thread Latency Avg,Thread Latency StDev,Thread Latency Max,Thread Latency +/- StDev,Thread Req/Sec Avg,Thread Req/Sec StDev,Thread Req/Sec Max,Thread Req/Sec +/- StDev,Connect Errors,Read Errors,Write Errors,Timeout Errors
3,9,10,,112717,10.10s,29.04MB,11160.17,2.88MB,0.93ms,95.32%,29.71ms,95.32%,3.75k,59.93%,5.39k,59.93%,,,,
3,10,10,,129029,10.10s,33.25MB,12775.71,3.29MB,730.41us,93.13%,12.64ms,93.13%,4.28k,65.35%,5.08k,65.35%,,,,
3,11,10,,129655,10.10s,33.41MB,12836.91,3.31MB,723.92us,93.29%,13.59ms,93.29%,4.30k,67.33%,5.21k,67.33%,,,,
3,12,10,,132904,10.00s,34.25MB,13289.33,3.42MB,7.41ms,95.90%,427.04ms,95.90%,4.56k,86.25%,6.25k,86.25%,,,,
3,13,10,,144719,10.10s,37.29MB,14327.82,3.69MB,0.94ms,95.59%,40.06ms,95.59%,4.80k,64.36%,5.83k,64.36%,,,,
3,14,10,,145447,10.10s,37.48MB,14401.15,3.71MB,0.90ms,93.75%,25.56ms,93.75%,4.84k,66.23%,6.12k,66.23%,,,,
3,15,10,,141343,10.10s,36.42MB,13996.8,3.61MB,3.74ms,97.88%,402.45ms,97.88%,4.73k,81.33%,9.04k,81.33%,,,,
3,16,10,,146961,10.10s,37.87MB,14551,3.75MB,1.18ms,94.75%,57.20ms,94.75%,4.88k,66.01%,6.34k,66.01%,,,,
3,17,10,,144125,10.10s,37.14MB,14271,3.68MB,1.15ms,91.86%,20.98ms,91.86%,4.80k,66.56%,6.68k,66.56%,,,,
3,18,10,,138156,10.10s,35.60MB,13678.41,3.52MB,3.43ms,98.13%,410.49ms,98.13%,4.58k,71.29%,6.38k,71.29%,,,,
3,19,10,,142020,10.10s,36.59MB,14060.94,3.62MB,1.40ms,92.36%,48.18ms,92.36%,4.71k,65.35%,6.05k,65.35%,,,,
3,20,10,,122814,10.10s,31.65MB,12159.84,3.13MB,2.82ms,98.48%,202.41ms,98.48%,4.07k,68.32%,6.36k,68.32%,,,,
3,21,10,,134037,10.10s,34.54MB,13272.07,3.42MB,1.74ms,92.42%,66.73ms,92.42%,4.48k,72.43%,8.56k,72.43%,,,,
3,22,10,,138229,10.10s,35.62MB,13689.49,3.53MB,1.65ms,92.21%,47.75ms,92.21%,4.61k,76.74%,10.00k,76.74%,,,,
3,23,10,,140481,10.10s,36.20MB,13909.09,3.58MB,1.62ms,93.07%,59.55ms,93.07%,4.66k,69.64%,6.25k,69.64%,,,,
3,24,10,,138593,10.10s,35.71MB,13722.16,3.54MB,3.69ms,98.16%,203.37ms,98.16%,4.63k,83.67%,7.49k,83.67%,,,,
3,25,10,,138012,10.10s,35.56MB,13664.66,3.52MB,1.88ms,90.77%,53.72ms,90.77%,4.59k,73.84%,7.93k,73.84%,,,,
